"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\.expo-shared\assets.json", "JSON", 0, 4, 0, 1, 5
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\App.js", "JavaScript", 21, 0, 0, 5, 26
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\app.json", "JSON", 0, 17, 16, 0, 33
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\babel.config.js", "JavaScript", 16, 0, 0, 1, 17
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\package-lock.json", "JSON", 0, 19697, 0, 1, 19698
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\package.json", "JSON", 0, 41, 0, 1, 42
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\Browse\BrowseView.js", "JavaScript", 99, 0, 0, 15, 114
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\Browse\FiltersComp.js", "JavaScript", 107, 0, 0, 15, 122
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\Browse\FlatListItemComp.js", "JavaScript", 34, 0, 0, 5, 39
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\Browse\SearchResultsComp.js", "JavaScript", 53, 0, 22, 15, 90
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\Browse\SortingComp.js", "JavaScript", 17, 0, 1, 7, 25
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\CreateEvent\CreateEventView.js", "JavaScript", 146, 0, 0, 15, 161
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\CreateEvent\DatePickerComponent.js", "JavaScript", 41, 0, 0, 9, 50
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\MyEvents\AgendaComponent.js", "JavaScript", 85, 0, 2, 13, 100
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\MyEvents\MyEventsView.js", "JavaScript", 21, 0, 0, 7, 28
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\components\MyEvents\WelcomeComponent.js", "JavaScript", 21, 0, 0, 4, 25
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\styles\globalStyles.js", "JavaScript", 66, 0, 0, 2, 68
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\utils\FirebaseConfig\firebaseconfig.js", "JavaScript", 12, 0, 0, 4, 16
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\utils\Functions\firebaseGetAllEvents.js", "JavaScript", 9, 0, 0, 5, 14
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\utils\Functions\firebaseSaveEvent.js", "JavaScript", 20, 0, 0, 3, 23
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\utils\Functions\helpersFunctions.js", "JavaScript", 41, 0, 0, 7, 48
"c:\Users\Yulia\Documents\HH_studies\MobileProgramming\FinalProject\Whatson_Helsinki\WhatsonHelsinki\src\utils\Functions\sortingFuncs.js", "JavaScript", 25, 0, 1, 9, 35
"Total", "-", 834, 19759, 42, 144, 20779